Grant!!;MD1;ASWMON00021 ;10.230.117.222;XS052535;2022/10/05;06:30:27:611
Grant!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/05;06:40:16:725
Detachment!!;MD1;ASWMON00021 ;10.230.117.222;XS052535;2022/10/05;07:07:49:472
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;07:13:28:183
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;07:19:43:379
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;07:47:11:730
TimeOut!!;MD2;ASWMON20028 ;10.230.117.190;XS105877;2022/10/05;07:48:18:263
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/05;08:14:23:854
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/05;08:51:40:924
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/05;08:52:39:346
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;09:59:36:631
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;10:33:00:140
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;10:33:11:204
Grant!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/05;11:00:47:475
Grant!!;MD2;ASWMON00084 ;10.230.117.157;XS108495;2022/10/05;11:21:38:524
Grant!!;MD1;ASWMON00021 ;10.230.117.222;XS052535;2022/10/05;11:28:49:458
Detachment!!;MD1;ASWMON00021 ;10.230.117.222;XS052535;2022/10/05;11:29:05:986
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/05;12:30:13:570
Grant!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/05;13:58:24:353
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;14:17:47:362
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;14:20:37:435
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/05;14:29:02:846
Detachment!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/05;14:31:00:939
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;14:35:31:699
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;14:35:34:140
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/05;14:45:14:018
Detachment!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/05;15:47:31:699
Detachment!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/05;15:51:14:773
Detachment!!;MD2;ASWMON00084 ;10.230.117.157;XS108495;2022/10/05;15:55:50:521
Grant!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/05;16:01:28:942
Detachment!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/05;16:01:47:531
Grant!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/05;16:01:48:453
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/05;21:07:09:730
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/06;05:01:02:310
Grant!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/06;06:38:43:409
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/06;07:22:24:442
Grant!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/06;07:42:13:479
Detachment!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/06;07:44:34:397
Grant!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/06;09:09:35:011
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/06;10:20:25:207
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/06;10:33:20:575
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/06;10:33:22:813
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/06;10:36:57:898
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/06;13:17:49:624
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/06;13:51:13:014
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/06;14:09:17:764
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/06;14:21:44:030
TimeOut!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/06;14:28:45:479
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/06;14:33:20:502
Grant!!;MD2;ASWMON20028 ;10.230.117.190;XS105877;2022/10/06;14:35:53:053
Detachment!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/06;15:53:58:065
Detachment!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/06;15:59:25:030
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/07;06:05:33:212
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/07;06:26:55:618
Grant!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/07;06:39:34:642
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;07:40:05:153
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:04:13:994
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:04:16:979
Grant!!;ST1;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:04:16:995
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:06:40:786
Detachment!!;ST1;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:06:40:786
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:06:41:427
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:24:30:131
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:24:35:803
Grant!!;ST1;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:24:35:818
Grant!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/07;08:24:41:963
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:25:48:024
Detachment!!;ST1;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:25:48:024
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;08:25:48:127
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;10:40:38:442
Detachment!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/07;11:02:10:863
Detachment!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/07;11:03:50:619
Detachment!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;11:33:11:334
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;11:33:33:674
Grant!!;ST1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;11:33:34:549
TimeOut!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;11:51:13:561
TimeOut!!;ST1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;11:51:13:561
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;12:49:23:038
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;12:49:28:039
Grant!!;ST1;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;12:49:28:054
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;12:50:36:809
Detachment!!;ST1;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;12:50:36:809
