FS1;CFG;214;CATIA V5;KKZ-42661C6F695667C0;FS1_V6_KKZ-42661C6F695667C0_CATIA V5;
FSP;CFG;1;CATIA V5;KKZ-42661C6F695667C0;FSP_V6_KKZ-42661C6F695667C0_CATIA V5;
FSR;SHA;2;CATIA V6;KKZ-42661C6F695667C0;FSR_V6_KKZ-42661C6F695667C0_CATIA V6;
FSR;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;FSR_V6_KKZ-42661C6F695667C0_ENOVIA V6;
FTA;SHA;22;CATIA V5;KKZ-42661C6F695667C0;FTA_V6_KKZ-42661C6F695667C0_CATIA V5;
GAS;CFG;7;CATIA V5;KKZ-42661C6F695667C0;GAS_V6_KKZ-42661C6F695667C0_CATIA V5;
GPS;CFG;7;CATIA V5;KKZ-42661C6F695667C0;GPS_V6_KKZ-42661C6F695667C0_CATIA V5;
GSD;CFG;11;CATIA V5;KKZ-42661C6F695667C0;GSD_V6_KKZ-42661C6F695667C0_CATIA V5;
GSO;SHA;1;CATIA V5;KKZ-42661C6F695667C0;GSO_V6_KKZ-42661C6F695667C0_CATIA V5;
GTS;CFG;2;DELMIA V5;KKZ-42661C6F695667C0;GTS_V6_KKZ-42661C6F695667C0_DELMIA V5;
HD2;CFG;175;CATIA V5;KKZ-42661C6F695667C0;HD2_V6_KKZ-42661C6F695667C0_CATIA V5;
IFW;CFG;49;3DEXPERIENCE Platform;KKZ-42661C6F695667C0;IFW_V6_KKZ-42661C6F695667C0_3DEXPERIENCE Platform;
KIN;SHA;4;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;KIN_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
KT1;CFG;211;CATIA V5;KKZ-42661C6F695667C0;KT1_V6_KKZ-42661C6F695667C0_CATIA V5;
KWA;SHA;1;CATIA V5;KKZ-42661C6F695667C0;KWA_V6_KKZ-42661C6F695667C0_CATIA V5;
LBC;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;LBC_V6_KKZ-42661C6F695667C0_ENOVIA V6;
LIB;CFG;59;ENOVIA V6;KKZ-42661C6F695667C0;LIB_V6_KKZ-42661C6F695667C0_ENOVIA V6;
LIV;CFG;33;ENOVIA V6;KKZ-42661C6F695667C0;LIV_V6_KKZ-42661C6F695667C0_ENOVIA V6;
LMG;CFG;41;CATIA V5;KKZ-42661C6F695667C0;LMG_V6_KKZ-42661C6F695667C0_CATIA V5;
MD1;CFG;1;CATIA V5;KKZ-42661C6F695667C0;MD1_V6_KKZ-42661C6F695667C0_CATIA V5;
MD2;CFG;25;CATIA V5;KKZ-42661C6F695667C0;MD2_V6_KKZ-42661C6F695667C0_CATIA V5;
MDE;CFG;14;ENOVIA V6;KKZ-42661C6F695667C0;MDE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
